Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
1943.0,Jun,Gallup,36.0,44.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,33.0,47.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,31.5,46.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.0,Jan,Gallup,28.0,45.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945.0,Feb,Gallup,27.5,47.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,28.0,47.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,33.0,45.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,37.0,45.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Centre of Public Opinion,45.0,45.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,Gallup,41.0,47.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946.0,Jan,Gallup,32.0,52.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,40.0,43.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,,,,,42.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,,,,,46.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.0,Jan,Gallup,41.0,44.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,43.5,43.5,10.5,46.0,39.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,,,,,42.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,42.5,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,42.5,42.5,12.5,51.0,38.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,44.5,41.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,44.5,39.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,50.5,38.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,,,,,41.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.0,Jan,Gallup,44.5,43.5,10.5,45.0,44.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,46.0,42.0,8.5,,35.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,46.0,43.0,8.5,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,42.5,41.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,45.0,41.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,48.0,39.5,9.0,40.0,36.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,48.0,41.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,47.5,41.5,10.0,37.0,37.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,46.5,41.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,46.0,43.0,8.5,45.0,43.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.0,Jan,Gallup,44.0,40.5,13.0,45.0,44.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,44.5,43.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,41.5,43.0,13.0,47.0,46.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
